street,label,classi,neighbourhood,garage,latitude,longitude,lot_size,population,population_ratio,crimes,suites
41 AVENUE NW,307000.00,Residential,ROYAL GARDENS,Y,53.47774992,-113.5267974,330,3393,8.016393443,468,0
125 STREET NW,313500.00,Residential,INGLEWOOD,N,53.55932092,-113.5371972,348,5922,7.480620155,2507,0
,221000.00,Residential,CHARLESWORTH,N,53.42568635,-113.4282593,0,5462,5.259927798,349,0
21 AVENUE NW,437000.00,Residential,LAUREL,Y,53.45146547,-113.3882458,374,7051,2.311408016,290,0
29 STREET NW,104000.00,Residential,LAUREL,N,53.43971212,-113.3846313,271,7051,2.311408016,290,0
RABBIT HILL ROAD NW,229000.00,Residential,FALCONER HEIGHTS,N,53.47004135,-113.5902567,0,1967,28.11904762,113,1
111 AVENUE NW,636500.00,Residential,HIGHLANDS,Y,53.56535749,-113.4272258,797,2545,24.6875,830,0
12 AVENUE SW,401000.00,Residential,SUMMERSIDE,Y,53.4223583,-113.4568515,331,13360,7.621794872,781,0
YOUVILLE DRIVE EAST NW,269500.00,Residential,TAWA,Y,53.46396419,-113.42252,0,2032,6.010309278,449,1
45 STREET NW,247000.00,Residential,BEACON HEIGHTS,Y,53.57382302,-113.4102667,576,2887,14.04268293,1282,0
144 AVENUE NW,296500.00,Residential,CLAREVIEW TOWN CENTRE,Y,53.60578062,-113.3992374,0,3335,4.042654028,1276,1
123 STREET NW,311000.00,Residential,KENSINGTON,Y,53.59408394,-113.5339557,546,3849,15.5511811,853,0
92 STREET NW,75500.00,Residential,BOYLE STREET,N,53.55004464,-113.4766924,0,6740,5.907775769,3725,1
107A AVENUE NW,192500.00,Residential,MCCAULEY,Y,53.55318575,-113.489178,310,4799,7.214285714,4305,0
147 AVENUE NW,334500.00,Residential,MCLEOD,Y,53.60873751,-113.4400905,731,2226,19.08139535,352,0
106 AVENUE NW,86000.00,Residential,BOYLE STREET,N,53.55496478,-113.4740196,0,6740,5.907775769,3725,1
HANNA CRESCENT NW,540500.00,Residential,HADDOW,Y,53.45081951,-113.5955714,471,4192,11.5,195,0
LATTA CRESCENT NW,483000.00,Residential,LEGER,Y,53.45786353,-113.5745581,381,2462,10.79545455,188,0
7A AVENUE SW,348000.00,Residential,WINDERMERE,Y,53.42833739,-113.6163625,305,8128,11.31350114,358,0
HOWATT DRIVE SW,1655000.00,Residential,HAYS RIDGE AREA,Y,53.41842411,-113.5672617,821,160,56.5,18,0
67 STREET NW,815500.00,Non Residential,INDUSTRIAL HEIGHTS,N,53.58040975,-113.4450151,4152,0,0,250,0
95A STREET NW,274500.00,Residential,DELTON,Y,53.58039217,-113.4884468,466,1988,18.69863014,828,0
MCALLISTER LOOP SW,165000.00,Residential,MACEWAN,N,53.43106057,-113.5190227,0,5474,9.132653061,515,1
108 AVENUE NW,134000.00,Residential,QUEEN MARY PARK,N,53.553243,-113.5218381,0,6946,3.411526795,2643,1
